,Date,Number of Cases
0,2020-01-22,
1,2020-01-23,0.0
2,2020-01-24,0.0
3,2020-01-25,0.0
4,2020-01-26,0.0
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.0
8,2020-01-30,0.0
9,2020-01-31,0.0
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.0
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.0
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.0
21,2020-02-12,0.0
22,2020-02-13,0.0
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.0
37,2020-02-28,0.0
38,2020-02-29,0.0
39,2020-03-01,0.0
40,2020-03-02,0.0
41,2020-03-03,0.0
42,2020-03-04,0.0
43,2020-03-05,0.0
44,2020-03-06,0.0
45,2020-03-07,0.0
46,2020-03-08,0.0
47,2020-03-09,0.0
48,2020-03-10,0.0
49,2020-03-11,0.0
50,2020-03-12,0.0
51,2020-03-13,5.0
52,2020-03-14,6.0
53,2020-03-15,11.0
54,2020-03-16,7.0
55,2020-03-17,10.0
56,2020-03-18,12.0
57,2020-03-19,27.0
58,2020-03-20,28.0
59,2020-03-21,25.0
60,2020-03-22,36.0
61,2020-03-23,29.0
62,2020-03-24,46.0
63,2020-03-25,144.0
64,2020-03-26,145.0
65,2020-03-27,108.0
66,2020-03-28,78.0
67,2020-03-29,108.0
68,2020-03-30,116.0
69,2020-03-31,56.0
70,2020-04-01,109.0
71,2020-04-02,164.0
72,2020-04-03,264.0
73,2020-04-04,98.0
74,2020-04-05,208.0
75,2020-04-06,163.0
76,2020-04-07,194.0
77,2020-04-08,300.0
78,2020-04-09,341.0
79,2020-04-10,169.0
80,2020-04-11,255.0
81,2020-04-12,319.0
82,2020-04-13,220.0
83,2020-04-14,150.0
84,2020-04-15,286.0
85,2020-04-16,163.0
86,2020-04-17,115.0
87,2020-04-18,204.0
88,2020-04-19,178.0
89,2020-04-20,177.0
90,2020-04-21,243.0
91,2020-04-22,281.0
92,2020-04-23,227.0
93,2020-04-24,201.0
94,2020-04-25,187.0
95,2020-04-26,204.0
96,2020-04-27,120.0
97,2020-04-28,207.0
98,2020-04-29,172.0
99,2020-04-30,147.0
100,2020-05-01,231.0
101,2020-05-02,317.0
102,2020-05-03,274.0
103,2020-05-04,225.0
104,2020-05-05,326.0
105,2020-05-06,255.0
106,2020-05-07,355.0
107,2020-05-08,338.0
108,2020-05-09,284.0
109,2020-05-10,221.0
110,2020-05-11,275.0
111,2020-05-12,304.0
112,2020-05-13,231.0
113,2020-05-14,395.0
114,2020-05-15,293.0
115,2020-05-16,284.0
116,2020-05-17,97.0
117,2020-05-18,310.0
118,2020-05-19,296.0
119,2020-05-20,675.0
120,2020-05-21,361.0
121,2020-05-22,260.0
122,2020-05-23,482.0
123,2020-05-24,355.0
124,2020-05-25,687.0
125,2020-05-26,454.0
126,2020-05-27,381.0
127,2020-05-28,524.0
128,2020-05-29,478.0
129,2020-05-30,327.0
130,2020-05-31,491.0
131,2020-06-01,397.0
132,2020-06-02,181.0
133,2020-06-03,126.0
134,2020-06-04,213.0
135,2020-06-05,307.0
136,2020-06-06,636.0
137,2020-06-07,457.0
138,2020-06-08,424.0
139,2020-06-09,481.0
140,2020-06-10,555.0
141,2020-06-11,848.0
142,2020-06-12,859.0
143,2020-06-13,887.0
144,2020-06-14,1015.0
145,2020-06-15,1037.0
146,2020-06-16,640.0
147,2020-06-17,400.0
148,2020-06-18,894.0
149,2020-06-19,796.0
150,2020-06-20,547.0
151,2020-06-21,472.0
152,2020-06-22,432.0
153,2020-06-23,644.0
154,2020-06-24,967.0
155,2020-06-25,1142.0
156,2020-06-26,974.0
157,2020-06-27,897.0
158,2020-06-28,353.0
159,2020-06-29,1744.0
160,2020-06-30,871.0
161,2020-07-01,917.0
162,2020-07-02,1149.0
163,2020-07-03,1753.0
164,2020-07-04,998.0
165,2020-07-05,1089.0
166,2020-07-06,923.0
167,2020-07-07,910.0
168,2020-07-08,1178.0
169,2020-07-09,2211.0
170,2020-07-10,1335.0
171,2020-07-11,1439.0
172,2020-07-12,1640.0
173,2020-07-13,1958.0
174,2020-07-14,1709.0
175,2020-07-15,1813.0
176,2020-07-16,2021.0
177,2020-07-17,2003.0
178,2020-07-18,2143.0
179,2020-07-19,1777.0
180,2020-07-20,1880.0
