iso_code,continent,location,date,new_cases,new_deaths,population
USA,North America,United States,2021-09-03,197627.0,2015.0,338289856.0
USA,North America,United States,2021-09-04,183417.0,2028.0,338289856.0
USA,North America,United States,2021-09-05,182112.0,1973.0,338289856.0
USA,North America,United States,2021-09-06,141762.0,1490.0,338289856.0
USA,North America,United States,2021-09-07,123082.0,1324.0,338289856.0
USA,North America,United States,2021-09-08,116004.0,1092.0,338289856.0
USA,North America,United States,2021-09-09,114676.0,1522.0,338289856.0
USA,North America,United States,2021-09-10,171241.0,2119.0,338289856.0
USA,North America,United States,2021-09-11,183714.0,2246.0,338289856.0
USA,North America,United States,2021-09-12,172091.0,2292.0,338289856.0
USA,North America,United States,2021-09-13,153543.0,1739.0,338289856.0
USA,North America,United States,2021-09-14,113838.0,1140.0,338289856.0
USA,North America,United States,2021-09-15,118971.0,1352.0,338289856.0
USA,North America,United States,2021-09-16,162147.0,2413.0,338289856.0
USA,North America,United States,2021-09-17,163128.0,2499.0,338289856.0
USA,North America,United States,2021-09-18,167335.0,2108.0,338289856.0
USA,North America,United States,2021-09-19,158492.0,2339.0,338289856.0
USA,North America,United States,2021-09-20,122574.0,1589.0,338289856.0
USA,North America,United States,2021-09-21,94644.0,1194.0,338289856.0
USA,North America,United States,2021-09-22,98378.0,1368.0,338289856.0
USA,North America,United States,2021-09-23,132981.0,2345.0,338289856.0
USA,North America,United States,2021-09-24,132730.0,2350.0,338289856.0
USA,North America,United States,2021-09-25,138256.0,2073.0,338289856.0
USA,North America,United States,2021-09-26,132731.0,2465.0,338289856.0
USA,North America,United States,2021-09-27,96166.0,1435.0,338289856.0
USA,North America,United States,2021-09-28,75238.0,1019.0,338289856.0
USA,North America,United States,2021-09-29,107319.0,1957.0,338289856.0
USA,North America,United States,2021-09-30,115452.0,2155.0,338289856.0
USA,North America,United States,2021-10-01,116797.0,2253.0,338289856.0
USA,North America,United States,2021-10-02,124042.0,1962.0,338289856.0
USA,North America,United States,2021-10-03,120674.0,2211.0,338289856.0
USA,North America,United States,2021-10-04,81968.0,1287.0,338289856.0
USA,North America,United States,2021-10-05,66639.0,942.0,338289856.0
USA,North America,United States,2021-10-06,91816.0,1356.0,338289856.0
USA,North America,United States,2021-10-07,101799.0,2055.0,338289856.0
USA,North America,United States,2021-10-08,118223.0,2053.0,338289856.0
USA,North America,United States,2021-10-09,113038.0,1738.0,338289856.0
USA,North America,United States,2021-10-10,108501.0,2253.0,338289856.0
USA,North America,United States,2021-10-11,70589.0,1051.0,338289856.0
USA,North America,United States,2021-10-12,58449.0,1013.0,338289856.0
USA,North America,United States,2021-10-13,77961.0,1024.0,338289856.0
USA,North America,United States,2021-10-14,89638.0,1914.0,338289856.0
USA,North America,United States,2021-10-15,96312.0,1846.0,338289856.0
USA,North America,United States,2021-10-16,96871.0,1576.0,338289856.0
USA,North America,United States,2021-10-17,92417.0,2038.0,338289856.0
USA,North America,United States,2021-10-18,63002.0,892.0,338289856.0
USA,North America,United States,2021-10-19,47645.0,695.0,338289856.0
USA,North America,United States,2021-10-20,72322.0,2330.0,338289856.0
USA,North America,United States,2021-10-21,80595.0,1849.0,338289856.0
USA,North America,United States,2021-10-22,76534.0,1841.0,338289856.0
USA,North America,United States,2021-10-23,87571.0,1523.0,338289856.0
USA,North America,United States,2021-10-24,80874.0,1961.0,338289856.0
USA,North America,United States,2021-10-25,36114.0,654.0,338289856.0
USA,North America,United States,2021-10-26,28057.0,347.0,338289856.0
USA,North America,United States,2021-10-27,84460.0,1030.0,338289856.0
USA,North America,United States,2021-10-28,101787.0,2052.0,338289856.0
USA,North America,United States,2021-10-29,84199.0,1765.0,338289856.0
USA,North America,United States,2021-10-30,103121.0,1277.0,338289856.0
USA,North America,United States,2021-10-31,88448.0,1790.0,338289856.0
USA,North America,United States,2021-11-01,34950.0,453.0,338289856.0
USA,North America,United States,2021-11-02,25347.0,302.0,338289856.0
USA,North America,United States,2021-11-03,117847.0,1196.0,338289856.0
USA,North America,United States,2021-11-04,74593.0,1450.0,338289856.0
USA,North America,United States,2021-11-05,78766.0,1188.0,338289856.0
USA,North America,United States,2021-11-06,88850.0,1204.0,338289856.0
USA,North America,United States,2021-11-07,89858.0,1614.0,338289856.0
USA,North America,United States,2021-11-08,35987.0,476.0,338289856.0
USA,North America,United States,2021-11-09,31524.0,256.0,338289856.0
USA,North America,United States,2021-11-10,116391.0,1161.0,338289856.0
USA,North America,United States,2021-11-11,82883.0,1587.0,338289856.0
USA,North America,United States,2021-11-12,93749.0,1345.0,338289856.0
USA,North America,United States,2021-11-13,73647.0,970.0,338289856.0
USA,North America,United States,2021-11-14,122999.0,1734.0,338289856.0
USA,North America,United States,2021-11-15,69276.0,544.0,338289856.0
USA,North America,United States,2021-11-16,33593.0,217.0,338289856.0
USA,North America,United States,2021-11-17,133590.0,1080.0,338289856.0
USA,North America,United States,2021-11-18,96915.0,1464.0,338289856.0
USA,North America,United States,2021-11-19,105810.0,1442.0,338289856.0
USA,North America,United States,2021-11-20,123870.0,3867.0,338289856.0
USA,North America,United States,2021-11-21,113822.0,1662.0,338289856.0
USA,North America,United States,2021-11-22,46194.0,374.0,338289856.0
USA,North America,United States,2021-11-23,38751.0,177.0,338289856.0
USA,North America,United States,2021-11-24,145378.0,1177.0,338289856.0
USA,North America,United States,2021-11-25,101066.0,1560.0,338289856.0
USA,North America,United States,2021-11-26,106535.0,1374.0,338289856.0
USA,North America,United States,2021-11-27,72723.0,465.0,338289856.0
USA,North America,United States,2021-11-28,81747.0,563.0,338289856.0
USA,North America,United States,2021-11-29,51800.0,214.0,338289856.0
USA,North America,United States,2021-11-30,56537.0,193.0,338289856.0
USA,North America,United States,2021-12-01,93479.0,1663.0,338289856.0
USA,North America,United States,2021-12-02,120690.0,1622.0,338289856.0
USA,North America,United States,2021-12-03,133075.0,1727.0,338289856.0
USA,North America,United States,2021-12-04,143869.0,1244.0,338289856.0
USA,North America,United States,2021-12-05,151567.0,1641.0,338289856.0
USA,North America,United States,2021-12-06,67352.0,572.0,338289856.0
USA,North America,United States,2021-12-07,55314.0,281.0,338289856.0
USA,North America,United States,2021-12-08,184043.0,1288.0,338289856.0
USA,North America,United States,2021-12-09,125548.0,1832.0,338289856.0
USA,North America,United States,2021-12-10,129708.0,1480.0,338289856.0
USA,North America,United States,2021-12-11,137431.0,1162.0,338289856.0
USA,North America,United States,2021-12-12,135573.0,1971.0,338289856.0
USA,North America,United States,2021-12-13,63967.0,490.0,338289856.0
USA,North America,United States,2021-12-14,58109.0,306.0,338289856.0
USA,North America,United States,2021-12-15,185683.0,1312.0,338289856.0
USA,North America,United States,2021-12-16,125442.0,1908.0,338289856.0
USA,North America,United States,2021-12-17,146477.0,1900.0,338289856.0
USA,North America,United States,2021-12-18,162668.0,1115.0,338289856.0
USA,North America,United States,2021-12-19,156763.0,2034.0,338289856.0
USA,North America,United States,2021-12-20,87584.0,590.0,338289856.0
USA,North America,United States,2021-12-21,102213.0,286.0,338289856.0
USA,North America,United States,2021-12-22,266159.0,1467.0,338289856.0
USA,North America,United States,2021-12-23,203318.0,2259.0,338289856.0
USA,North America,United States,2021-12-24,237883.0,1854.0,338289856.0
USA,North America,United States,2021-12-25,278812.0,3177.0,338289856.0
USA,North America,United States,2021-12-26,241450.0,1368.0,338289856.0
USA,North America,United States,2021-12-27,115824.0,262.0,338289856.0
USA,North America,United States,2021-12-28,211284.0,266.0,338289856.0
USA,North America,United States,2021-12-29,464495.0,1786.0,338289856.0
USA,North America,United States,2021-12-30,389514.0,2331.0,338289856.0
USA,North America,United States,2021-12-31,474309.0,1823.0,338289856.0
USA,North America,United States,2022-01-01,584647.0,1334.0,338289856.0
USA,North America,United States,2022-01-02,471965.0,1344.0,338289856.0
USA,North America,United States,2022-01-03,302957.0,430.0,338289856.0
USA,North America,United States,2022-01-04,390858.0,374.0,338289856.0
USA,North America,United States,2022-01-05,902391.0,1672.0,338289856.0
USA,North America,United States,2022-01-06,732514.0,2840.0,338289856.0
USA,North America,United States,2022-01-07,702790.0,1846.0,338289856.0
USA,North America,United States,2022-01-08,798436.0,2088.0,338289856.0
USA,North America,United States,2022-01-09,852951.0,2466.0,338289856.0
USA,North America,United States,2022-01-10,448743.0,869.0,338289856.0
USA,North America,United States,2022-01-11,486541.0,699.0,338289856.0
USA,North America,United States,2022-01-12,1265520.0,1962.0,338289856.0
USA,North America,United States,2022-01-13,803539.0,3189.0,338289856.0
USA,North America,United States,2022-01-14,855880.0,2480.0,338289856.0
USA,North America,United States,2022-01-15,892303.0,2179.0,338289856.0
USA,North America,United States,2022-01-16,898407.0,3002.0,338289856.0
USA,North America,United States,2022-01-17,465957.0,1380.0,338289856.0
USA,North America,United States,2022-01-18,418737.0,873.0,338289856.0
USA,North America,United States,2022-01-19,968465.0,1453.0,338289856.0
USA,North America,United States,2022-01-20,856293.0,2642.0,338289856.0
USA,North America,United States,2022-01-21,780466.0,3259.0,338289856.0
USA,North America,United States,2022-01-22,776490.0,2901.0,338289856.0
USA,North America,United States,2022-01-23,776480.0,3800.0,338289856.0
USA,North America,United States,2022-01-24,328564.0,1218.0,338289856.0
USA,North America,United States,2022-01-25,314947.0,960.0,338289856.0
USA,North America,United States,2022-01-26,1011148.0,2784.0,338289856.0
USA,North America,United States,2022-01-27,493232.0,3530.0,338289856.0
USA,North America,United States,2022-01-28,545225.0,3409.0,338289856.0
USA,North America,United States,2022-01-29,572820.0,2898.0,338289856.0
USA,North America,United States,2022-01-30,523326.0,3604.0,338289856.0
USA,North America,United States,2022-01-31,222172.0,1516.0,338289856.0
USA,North America,United States,2022-02-01,158214.0,925.0,338289856.0
USA,North America,United States,2022-02-02,576521.0,2779.0,338289856.0
USA,North America,United States,2022-02-03,296458.0,4076.0,338289856.0
USA,North America,United States,2022-02-04,303405.0,3218.0,338289856.0
USA,North America,United States,2022-02-05,350050.0,2715.0,338289856.0
USA,North America,United States,2022-02-06,281890.0,3425.0,338289856.0
USA,North America,United States,2022-02-07,104762.0,1254.0,338289856.0
USA,North America,United States,2022-02-08,96578.0,714.0,338289856.0
USA,North America,United States,2022-02-09,305358.0,3301.0,338289856.0
USA,North America,United States,2022-02-10,197921.0,3804.0,338289856.0
USA,North America,United States,2022-02-11,196394.0,3005.0,338289856.0
USA,North America,United States,2022-02-12,165790.0,2579.0,338289856.0
USA,North America,United States,2022-02-13,155309.0,2893.0,338289856.0
USA,North America,United States,2022-02-14,67888.0,969.0,338289856.0
USA,North America,United States,2022-02-15,47904.0,727.0,338289856.0
USA,North America,United States,2022-02-16,174293.0,2973.0,338289856.0
USA,North America,United States,2022-02-17,108080.0,3370.0,338289856.0
USA,North America,United States,2022-02-18,105714.0,2708.0,338289856.0
USA,North America,United States,2022-02-19,100475.0,2316.0,338289856.0
USA,North America,United States,2022-02-20,103802.0,2309.0,338289856.0
USA,North America,United States,2022-02-21,40797.0,716.0,338289856.0
USA,North America,United States,2022-02-22,31174.0,588.0,338289856.0
USA,North America,United States,2022-02-23,48413.0,1100.0,338289856.0
USA,North America,United States,2022-02-24,115022.0,3252.0,338289856.0
USA,North America,United States,2022-02-25,73662.0,2611.0,338289856.0
USA,North America,United States,2022-02-26,75062.0,2488.0,338289856.0
USA,North America,United States,2022-02-27,74142.0,2291.0,338289856.0
USA,North America,United States,2022-02-28,25662.0,576.0,338289856.0
USA,North America,United States,2022-03-01,18169.0,360.0,338289856.0
USA,North America,United States,2022-03-02,76237.0,2302.0,338289856.0
USA,North America,United States,2022-03-03,63819.0,1971.0,338289856.0
USA,North America,United States,2022-03-04,52784.0,1536.0,338289856.0
USA,North America,United States,2022-03-05,51622.0,1364.0,338289856.0
USA,North America,United States,2022-03-06,44216.0,1569.0,338289856.0
USA,North America,United States,2022-03-07,14292.0,322.0,338289856.0
USA,North America,United States,2022-03-08,8941.0,367.0,338289856.0
USA,North America,United States,2022-03-09,57277.0,1530.0,338289856.0
USA,North America,United States,2022-03-10,31172.0,1735.0,338289856.0
USA,North America,United States,2022-03-11,46110.0,1957.0,338289856.0
USA,North America,United States,2022-03-12,39598.0,1258.0,338289856.0
USA,North America,United States,2022-03-13,36942.0,1437.0,338289856.0
USA,North America,United States,2022-03-14,12159.0,506.0,338289856.0
USA,North America,United States,2022-03-15,9126.0,195.0,338289856.0
USA,North America,United States,2022-03-16,60969.0,,338289856.0
USA,North America,United States,2022-03-17,24495.0,1443.0,338289856.0
USA,North America,United States,2022-03-18,37828.0,1500.0,338289856.0
USA,North America,United States,2022-03-19,33159.0,1066.0,338289856.0
USA,North America,United States,2022-03-20,31004.0,972.0,338289856.0
USA,North America,United States,2022-03-21,9881.0,200.0,338289856.0
USA,North America,United States,2022-03-22,10038.0,150.0,338289856.0
USA,North America,United States,2022-03-23,38828.0,789.0,338289856.0
USA,North America,United States,2022-03-24,24771.0,937.0,338289856.0
USA,North America,United States,2022-03-25,45160.0,1244.0,338289856.0
USA,North America,United States,2022-03-26,36077.0,895.0,338289856.0
USA,North America,United States,2022-03-27,28714.0,776.0,338289856.0
USA,North America,United States,2022-03-28,12511.0,180.0,338289856.0
USA,North America,United States,2022-03-29,9753.0,95.0,338289856.0
USA,North America,United States,2022-03-30,32427.0,686.0,338289856.0
USA,North America,United States,2022-03-31,24078.0,732.0,338289856.0
USA,North America,United States,2022-04-01,48239.0,1173.0,338289856.0
USA,North America,United States,2022-04-02,40063.0,704.0,338289856.0
USA,North America,United States,2022-04-03,27393.0,602.0,338289856.0
USA,North America,United States,2022-04-04,11677.0,148.0,338289856.0
USA,North America,United States,2022-04-05,10548.0,117.0,338289856.0
USA,North America,United States,2022-04-06,26930.0,322.0,338289856.0
USA,North America,United States,2022-04-07,33374.0,524.0,338289856.0
USA,North America,United States,2022-04-08,42256.0,944.0,338289856.0
USA,North America,United States,2022-04-09,33806.0,523.0,338289856.0
USA,North America,United States,2022-04-10,42601.0,889.0,338289856.0
USA,North America,United States,2022-04-11,14053.0,141.0,338289856.0
USA,North America,United States,2022-04-12,17314.0,69.0,338289856.0
USA,North America,United States,2022-04-13,34571.0,323.0,338289856.0
USA,North America,United States,2022-04-14,28789.0,733.0,338289856.0
USA,North America,United States,2022-04-15,46149.0,603.0,338289856.0
USA,North America,United States,2022-04-16,62708.0,710.0,338289856.0
USA,North America,United States,2022-04-17,44355.0,544.0,338289856.0
USA,North America,United States,2022-04-18,16817.0,49.0,338289856.0
USA,North America,United States,2022-04-19,18767.0,57.0,338289856.0
USA,North America,United States,2022-04-20,36003.0,366.0,338289856.0
USA,North America,United States,2022-04-21,53418.0,427.0,338289856.0
USA,North America,United States,2022-04-22,57408.0,547.0,338289856.0
USA,North America,United States,2022-04-23,49509.0,655.0,338289856.0
USA,North America,United States,2022-04-24,68799.0,342.0,338289856.0
USA,North America,United States,2022-04-25,23458.0,72.0,338289856.0
USA,North America,United States,2022-04-26,21103.0,61.0,338289856.0
USA,North America,United States,2022-04-27,49858.0,217.0,338289856.0
USA,North America,United States,2022-04-28,64414.0,384.0,338289856.0
USA,North America,United States,2022-04-29,77145.0,729.0,338289856.0
USA,North America,United States,2022-04-30,61915.0,288.0,338289856.0
USA,North America,United States,2022-05-01,80656.0,491.0,338289856.0
USA,North America,United States,2022-05-02,25939.0,90.0,338289856.0
USA,North America,United States,2022-05-03,26774.0,133.0,338289856.0
USA,North America,United States,2022-05-04,64100.0,180.0,338289856.0
USA,North America,United States,2022-05-05,72566.0,648.0,338289856.0
USA,North America,United States,2022-05-06,100537.0,804.0,338289856.0
USA,North America,United States,2022-05-07,80010.0,300.0,338289856.0
USA,North America,United States,2022-05-08,95732.0,486.0,338289856.0
USA,North America,United States,2022-05-09,27518.0,61.0,338289856.0
USA,North America,United States,2022-05-10,31753.0,63.0,338289856.0
